Product Name,Product URL,Product Price,Product Rating,Product Reviews
Sm 651,https://www.amazon.in/Sparx-SM-651-Navy-Sports-Shoes/dp/B08R22N82N/ref=sr_1_39?keywords=men+sports+shoes&qid=1685080856&sr=8-39,₹839,4.2 out of 5 stars,"2,652"
Mens Hattrick-27 Loafer,https://www.amazon.in/ASIAN-Hattrick-27-Running-Sneakers-Lightweight/dp/B09SY328JM/ref=sr_1_40?keywords=men+sports+shoes&qid=1685080856&sr=8-40,₹704,3.8 out of 5 stars,684
Men's Running Shoes,https://www.amazon.in/Campus-PRO-L-Gry-Running-Shoes/dp/B09RBG193D/ref=sr_1_41?keywords=men+sports+shoes&qid=1685080856&sr=8-41,₹869,3.9 out of 5 stars,"3,443"
Mens Sx0680g Sneaker,https://www.amazon.in/Sparx-SM-680-Golden-Sports-SX0680GBKGO_0007/dp/B098BBP3GB/ref=sr_1_42?keywords=men+sports+shoes&qid=1685080856&sr=8-42,"₹1,199",4.0 out of 5 stars,925
"Men's Synthetic Sports,Running,Casual Loafer Shoes for Boy's",https://www.amazon.in/ASIAN-Multicolor-Leather-Sports-Shoes/dp/B09GBGVGV2/ref=sr_1_43?keywords=men+sports+shoes&qid=1685080856&sr=8-43,₹514,3.8 out of 5 stars,"15,303"
"Crystal-13 Sports Running,Walking & Gym Shoes with Crystal Cushion Technology Lightweight Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/ASIAN-Crystal-13-Running-Technology-Lightweight/dp/B09RXMGTM3/ref=sr_1_44?keywords=men+sports+shoes&qid=1685080856&sr=8-44,"₹1,259",3.8 out of 5 stars,"2,245"
Mens Speed Runner Lp Running Shoe,https://www.amazon.in/Reebok-Runner-Running-Shoes-9-FW1739/dp/B082QHDNW8/ref=sr_1_45?keywords=men+sports+shoes&qid=1685080856&sr=8-45,"₹1,545",4.0 out of 5 stars,"1,323"
Men's Lace Up Sports Running Outdoor Shoes,https://www.amazon.in/Lancer-Black-Hiking-Shoes-8-HECTOR-901BLK-RED-8/dp/B0821W8W14/ref=sr_1_46?keywords=men+sports+shoes&qid=1685080856&sr=8-46,₹814,3.6 out of 5 stars,779
Mens Sm-610 Running Shoe,https://www.amazon.in/Sparx-Multicolour-Running-Shoes-10-SX0610G_NVRD0010/dp/B07YQZTRZR/ref=sr_1_47?keywords=men+sports+shoes&qid=1685080856&sr=8-47,"₹1,449",4.1 out of 5 stars,159
Sm-678,https://www.amazon.in/Sparx-SX0678G-Cool-Running-Shoes/dp/B08R4YZSYC/ref=sr_1_48?keywords=men+sports+shoes&qid=1685080856&sr=8-48,"₹1,439",4.0 out of 5 stars,396
Mens 5g-820 Running Shoe,https://www.amazon.in/Campus-Renegade-Beige-Running-Shoes/dp/B08KNQ3Q3B/ref=sr_1_49?keywords=men+sports+shoes&qid=1685080856&sr=8-49,"₹1,599",3.8 out of 5 stars,"1,413"
"Men's Sports Walking Shoes | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",https://www.amazon.in/Red-Tape-Walking-Lace-Up-Perfect/dp/B0BT1JPTGQ/ref=sr_1_50?keywords=men+sports+shoes&qid=1685080856&sr=8-50,"₹1,512",2.0 out of 5 stars,1
"Men's CAPTAIN-12 Sports Running,Walking & Gym Shoes with Eva Sole Memory Form Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/ASIAN-Captain-12-Sneakers-Lightweight-Running/dp/B08663MTWM/ref=sr_1_51?keywords=men+sports+shoes&qid=1685080856&sr=8-51,₹549,3.8 out of 5 stars,"2,415"
Mens Sx0614g Running Shoes,https://www.amazon.in/Sparx-White-Running-Shoes-10-SX0614G_WHGY0010/dp/B08FTXG4GC/ref=sr_1_52?keywords=men+sports+shoes&qid=1685080856&sr=8-52,₹999,3.9 out of 5 stars,21
Unisex-Adult Flair Low Boot,https://www.amazon.in/Puma-19511201-PUMA-Flair/dp/B08TRJ75H6/ref=sr_1_53?keywords=men+sports+shoes&qid=1685080856&sr=8-53,"₹2,059",4.0 out of 5 stars,"1,339"
"Oxygen-01 Sports Running,Walking & Gym Shoes with Oxygen Technology Lightweight Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/ASIAN-Oxygen-01-Turquoise-Lightweight-Running/dp/B09C3XZ9K9/ref=sr_1_54?keywords=men+sports+shoes&qid=1685080856&sr=8-54,"₹1,049",3.8 out of 5 stars,"3,628"
